Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.000    0.000    0.169    0.007 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1860(_get_tick_boxes_siblings)
       86    0.006    0.000    0.168    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:57(__init__)
    37/19    0.000    0.000    0.165    0.009 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:74(wrapper)
        5    0.002    0.000    0.162    0.032 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2171(bar)
11373/9599    0.035    0.000    0.161    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        5    0.000    0.000    0.155    0.031 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1829(set_ticks)
        5    0.000    0.000    0.155    0.031 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1800(_set_tick_locations)
        1    0.000    0.000    0.154    0.154 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1300(subplots)
        1    0.000    0.000    0.152    0.152 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:788(subplots)
        1    0.000    0.000    0.152    0.152 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\gridspec.py:264(subplots)
        4    0.000    0.000    0.152    0.038 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:646(add_subplot)
        4    0.000    0.000    0.151    0.038 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_subplots.py:14(__init__)
        4    0.000    0.000    0.148    0.037 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:445(wrapper)
        4    0.000    0.000    0.148    0.037 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:553(__init__)
      188    0.003    0.000    0.141    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:224(draw_text)
      104    0.002    0.000    0.139    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2350(add_patch)
        2    0.000    0.000    0.121    0.061 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:339(xlsx2html)
