Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.218    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1083(_get_tick_bboxes)
       48    0.001    0.000    0.217    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1085(<listcomp>)
      136    0.002    0.000    0.195    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:291(draw)
        8    0.000    0.000    0.166    0.021 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1090(get_tightbbox)
        6    0.000    0.000    0.160    0.027 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\__init__.py:1409(inner)
       24    0.000    0.000    0.143    0.006 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1860(_get_tick_boxes_siblings)
       56    0.001    0.000    0.136    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1368(get_major_ticks)
        1    0.000    0.000    0.135    0.135 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1300(subplots)
        1    0.000    0.000    0.133    0.133 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:788(subplots)
        1    0.000    0.000    0.133    0.133 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\gridspec.py:264(subplots)
        4    0.000    0.000    0.133    0.033 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\figure.py:646(add_subplot)
        4    0.000    0.000    0.132    0.033 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_subplots.py:14(__init__)
      188    0.003    0.000    0.131    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:224(draw_text)
        4    0.000    0.000    0.129    0.032 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\_api\deprecation.py:445(wrapper)
        4    0.000    0.000    0.129    0.032 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:553(__init__)
        5    0.002    0.000    0.129    0.026 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2171(bar)
       86    0.005    0.000    0.127    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:57(__init__)
11373/9599    0.030    0.000    0.122    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    37/19    0.000    0.000    0.120    0.006 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:74(wrapper)
        2    0.000    0.000    0.116    0.058 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:339(xlsx2html)
        5    0.000    0.000    0.113    0.023 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1829(set_ticks)
        5    0.000    0.000    0.113    0.023 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1800(_set_tick_locations)
      104    0.001    0.000    0.105    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2350(add_patch)
        1    0.000    0.000    0.097    0.097 C:\Users\anony\Balaba\statistics.py:390(generate_exel)
       48    0.004    0.000    0.097    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
       12    0.000    0.000    0.093    0.008 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2342(_update_label_position)
      252    0.003    0.000    0.091    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:600(draw)
       44    0.000    0.000    0.086    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2052(_get_tick)
       44    0.001    0.000    0.085    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:414(__init__)
      745    0.005    0.000    0.083    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
       42    0.000    0.000    0.082    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2320(_get_tick)
       42    0.001    0.000    0.082    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:475(__init__)
      681    0.003    0.000    0.081    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:299(_get_agg_font)
      104    0.003    0.000    0.080    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2363(_update_patch_limits)
