name,salary_from,salary_to,salary_currency,area_name,published_at
Аналитик,Пермь,20000.0,25000.0,RUR,2022-12-01T06:16:12+0300
Технический директор (автобизнес),Калининград,,300000.0,RUR,2022-12-01T10:28:09+0300
Автомеханик/автослесарь/автоэлектрик,Тула,50000.0,120000.0,RUR,2022-12-01T11:20:27+0300
Копирайтер,Смоленск,25000.0,,RUR,2022-12-01T09:47:06+0300
Рабочий по комплексному обслуживанию зданий (Брянск ул. Горбатова18),Брянск,,30555.0,RUR,2022-12-01T11:00:32+0300
Senior QA engineer (Mobile),Москва,250000.0,,RUR,2022-12-01T11:05:14+0300
Level Designer (дизайнер уровней мобильной RTS),Курск,35000.0,,RUR,2022-12-01T11:55:41+0300
Ведущий сетевой инженер в ЦОД,Нижний Новгород,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Специалист по ТЗИ и компьютерной безопасности,Москва,80000.0,,RUR,2022-12-01T09:10:04+0300
Оператор станка,Хабаровск,50000.0,,RUR,2022-12-01T03:52:31+0300
Оператор станка,Нижний Новгород,30000.0,40000.0,RUR,2022-12-01T11:24:17+0300
Программист 1 категории,Тверь,100000.0,,RUR,2022-12-01T09:16:06+0300
Механик по специализированной технике,Благовещенск (Амурская область),148000.0,165000.0,RUR,2022-12-01T08:39:11+0300
Специалист транспортного отдела,Зеленоград,50000.0,50000.0,RUR,2022-12-01T11:38:39+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Самара,150000.0,,RUR,2022-12-01T07:40:44+0300
Специалист по технической поддержке,Алматы,60000.0,200000.0,KZT,2022-12-01T09:52:15+0300
Ведущий сетевой инженер в ЦОД,Уфа,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Middle Android Developer (удаленно),Москва,210000.0,250000.0,RUR,2022-12-01T11:53:17+0300
Старший дизайнер,Москва,70000.0,90000.0,RUR,2022-12-01T10:42:00+0300
IT Support Engineer,Атырау,,150000.0,KZT,2022-12-01T07:50:45+0300
Оператор станков с ЧПУ,Ишеевка (Ульяновская область),35000.0,70000.0,RUR,2022-12-01T11:12:46+0300
Инженер-электроник,Пермь,75000.0,100000.0,RUR,2022-12-01T07:24:15+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Уфа,150000.0,,RUR,2022-12-01T07:39:58+0300
Монтажник радиоэлектронной аппаратуры и приборов,Сосенский,42000.0,70000.0,RUR,2022-12-01T10:51:08+0300
Программист Laravel,Тюмень,30000.0,90000.0,RUR,2022-12-01T11:15:09+0300
Старший мастер СТОА,Санкт-Петербург,90000.0,100000.0,RUR,2022-12-01T10:23:47+0300
Механик,Барнаул,50000.0,,RUR,2022-12-01T10:41:17+0300
Токарь,Тольятти,50000.0,55000.0,RUR,2022-12-01T09:06:48+0300
"Оператор станков с ЧПУ 3х, 5 осевой (стойка HEIDENHAIN)",Екатеринбург,80000.0,,RUR,2022-12-01T06:41:07+0300
Инженер - системотехник (Help desk),Алматы,200000.0,250000.0,KZT,2022-12-01T09:17:40+0300
Маркетолог-аналитик,Курск,35000.0,,RUR,2022-12-01T10:26:36+0300
Дежурный специалист группы технической поддержки онлайн сервисов,Новосибирск,40000.0,60000.0,RUR,2022-12-01T09:39:42+0300
Инженер по ремонту,Смоленск,30000.0,,RUR,2022-12-01T10:50:43+0300
Проджект менеджер / категорийный менеджер / бренд менеджер,Москва,120000.0,,RUR,2022-12-01T09:06:53+0300
Техник лаборатории неразрушающего контроля,Иркутск,100000.0,100000.0,RUR,2022-12-01T10:05:54+0300
Бизнес-аналитик,Обнинск,60000.0,150000.0,RUR,2022-12-01T11:24:13+0300
Тьютор (Преподаватель) программирования для детей,Иркутск,24000.0,68000.0,RUR,2022-12-01T08:13:55+0300
Системный администратор (Альтон),Москва,50000.0,,RUR,2022-12-01T11:22:43+0300
Управляющий сервисного центра,Санкт-Петербург,100000.0,,RUR,2022-12-01T11:31:28+0300
Сервисный инженер (Иркутск),Иркутск,40000.0,,RUR,2022-12-01T11:27:43+0300
Специалист по обработке информации,Москва,,85000.0,RUR,2022-12-01T10:49:06+0300
Механик по ремонту промышленного швейного оборудования,Москва,80000.0,95000.0,RUR,2022-12-01T11:03:15+0300
Водитель,Комсомольск-на-Амуре,35000.0,,RUR,2022-12-01T04:47:05+0300
Инженер сервисного обслуживания сельскохозяйственной техники,Минусинск,50000.0,150000.0,RUR,2022-12-01T05:21:22+0300
Инженер отдела транспортной безопасности (безопасность дорожного движения),Тюмень,,120000.0,RUR,2022-12-01T10:45:46+0300
Инсталлятор,Петропавловск-Камчатский,55000.0,,RUR,2022-12-01T10:01:29+0300
Fullstack разработчик (C#),Алматы,500000.0,1000000.0,KZT,2022-12-01T06:19:55+0300
Инженер-механик,Нижний Новгород,40000.0,,RUR,2022-12-01T08:49:45+0300
Литературный редактор,Минск,850.0,,BYR,2022-12-01T09:54:13+0300
Механик по выпуску спецтехники и автотранспорта,Верхняя Пышма,60000.0,60000.0,RUR,2022-12-01T10:14:59+0300
Помощник наладчика сварочного оборудования,Нижний Новгород,45000.0,,RUR,2022-12-01T10:34:56+0300
Сетевой инженер,Новосибирск,,130000.0,RUR,2022-12-01T10:36:49+0300
Технический писатель,Санкт-Петербург,90000.0,110000.0,RUR,2022-12-01T10:22:55+0300
Руководитель отдела по управлению имуществом,Курган,53000.0,59000.0,RUR,2022-12-01T11:27:18+0300
1С разработчик,Алматы,500000.0,700000.0,KZT,2022-12-01T05:34:36+0300
Токарь (Пермь),Теплая Гора,106000.0,126000.0,RUR,2022-12-01T07:40:26+0300
Строгальщик (г. Челябинск),Самара,105000.0,,RUR,2022-12-01T10:42:39+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Санкт-Петербург,150000.0,,RUR,2022-12-01T07:40:30+0300
Специалист чат-поддержки,Саранск,33000.0,38000.0,RUR,2022-12-01T06:43:48+0300
Механик по выпуску спецтехники и автотранспорта,Екатеринбург,60000.0,60000.0,RUR,2022-12-01T10:14:59+0300
